N;CODIGO_PAIS;CODIGO_ENTIDAD;PROGRAMA;CODIGO_SNIP;CODIGO_UNIFICADO;NOMBRE;UNIDAD_EJECUTORA;DEPARTAMENTO;PROVINCIA;DISTRITO;POBLACION_BENEFICIADA_SSP;MONTO_ACTUALIZADO_PIP;MODALIDAD_FINANCIAMIENTO;TIPO_EJECUCION;ETAPA_INVERSION;ESTADO
N1494;PE;11476;PNSU;145791;2128524;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y CONSTRUCCION DE ALCANTARILLADO CON PLANTA DE TRATAMIENTO DE AGUAS RESIDUALES DEL CENTRO POBLADO DE VISTA ALEGRE, DISTRITO DE SURCUBAMBA - TAYACAJA - HUANCAVELICA;MUNICIPALIDAD DISTRITAL DE SURCUBAMBA;HUANCAVELICA;TAYACAJA;SURCUBAMBA;582;1307962.37;Transferencia;Indirecta;OBRA;Concluido
N1495;PE;11476;PNSU;49853;2054977;MEJORAMIENTO Y CAMBIO DE TRAZO DEL EMISOR AV. INDUSTRIAL TRAMO OVALO SAN PEDRO HASTA CAMARA DE BOMBEO SAN PEDRO, PROVINCIA DE SANTA - ANCASH;EMPRESA DE SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO DE CHIMBOTE, CASMA Y HUARMEY;ANCASH;SANTA;CHIMBOTE;35780;4803340;Transferencia;Indirecta;OBRA;Concluido
N1496;PE;11476;PNSU;135565;2107921;AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE E INSTALACION DEL SISTEMA DE ALCANTARILLADO C.P. EL HUACO, DISTRITO DE HUABAL - JAEN - CAJAMARCA;MUNICIPALIDAD DISTRITAL DE HUABAL;CAJAMARCA;JAEN;HUABAL;2304;1214351;Transferencia;Indirecta;OBRA;Concluido
N1497;PE;11476;PNSU;26117;2028926;INSTALACION DE REDES DE AGUA POTABLE Y ALCANTARILLADO EN LA ASOCIACION URBANIZADORA SOR ANA DE LOS ANGELES Y MONTEAGUDO - YURA - AREQUIPA;MUNICIPALIDAD PROVINCIAL DE AREQUIPA;AREQUIPA;AREQUIPA;YURA;4158;2707135.18;Transferencia;Directa;OBRA;Concluido
N1498;PE;11476;PNSU;58633;2065677;AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE DESAGUE DE SINGA, DISTRITO DE SINGA - HUAMALIES - HUANUCO;MUNICIPALIDAD DISTRITAL DE SINGA;HUANUCO;HUAMALIES;SINGA;1900;2644083;Transferencia;Indirecta;OBRA;Concluido
N1499;PE;11476;PNSU;31917;2030178;INSTALACION DE LOS SISTEMAS DE AGUA POTABLE Y ALCANTARILLADO EN EL CPM DE NARANJILLO, DISTRITO DE NUEVA CAJAMARCA, PROVINCIA DE RIOJA - SAN MARTIN;REGION SAN MARTIN - PROYECTO ESPECIAL ALTO MAYO;SAN MARTIN;RIOJA;NUEVA CAJAMARCA;5703;18113801.03;Transferencia;Directa;OBRA;Concluido
N1500;PE;11476;PNSU;61382;2066065;CONSTRUCCION DEL SISTEMA DE AGUA POTABLE E INSTALACION DE LETRINAS EN LA LOCALIDAD DE SAN JUAN DE QUEROSH, DISTRITO DE PUNOS - HUAMALIES - HUANUCO;MUNICIPALIDAD DISTRITAL DE PUÑOS;HUANUCO;HUAMALIES;PUÑOS;252;331561;Transferencia;Directa;OBRA;Concluido
N1501;PE;11476;PNSU;58094;2065644;MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE EN EL DISTRITO DE YAUTAN, DISTRITO DE YAUTAN - CASMA - ANCASH;MUNICIPALIDAD DISTRITAL DE YAUTAN;ANCASH;CASMA;YAUTAN;3150;661419;Transferencia;Indirecta;OBRA;Concluido
N1502;PE;11476;PNSU;31283;2087578;INSTALACIÓN DE LOS SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO EN LA ASOCIACION URBANIZADORA CIUDAD DE DIOS EN EL DISTRITO DE YURA, AREQUIPA;GOBIERNO REGIONAL DE AREQUIPA;AREQUIPA;AREQUIPA;YURA;18244;28276526.96;Transferencia;Indirecta;OBRA (SALDO);Concluido
N1503;PE;11476;PNSU;117321;2104214;MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO EN EL DISTRITO DE CUÑUMBUQUI, PROVINCIA DE LAMAS - SAN MARTIN;MUNICIPALIDAD DISTRITAL DE CUÑUMBUQUI;SAN MARTIN;LAMAS;CUÑUMBUQUI;4754;2596722.2;Transferencia;Directa;OBRA;Concluido
N1504;PE;11476;PNSU;71714;2081242;CONSTRUCCION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO CENTRO POBLADO DE VIROC, PROVINCIA DE OYON - LIMA;MUNICIPALIDAD PROVINCIAL DE OYON;LIMA;OYON;OYON;545;1152159.05;Transferencia;Indirecta;OBRA;Concluido
